,title,fact,opinion,inhibition,fff,activation,moral,cut,length
20,中国梦想秀：女孩年龄虽小，说话却很有道理，周立波：你很强大！,1,2,0,0,3,4,"['中国', '梦想', '秀', '：', '女孩', '年龄', '虽小', '，', '说话', '却', '很', '有', '道理', '，', '周立波', '：', '你', '很', '强大', '！']",20
21,"中国梦想秀:女子演唱《一生有你》,送给爸爸,观众泪流满面",1,1,0,0,3,1,"['中国', '梦想', '秀', ':', '女子', '演唱', '《', '一生', '有', '你', '》', ',', '送给', '爸爸', ',', '观众', '泪流满面']",17
22,"中国梦想秀:她一首《领悟》,唱出了我心中多年的痛,落泪了",1,2,0,0,3,1,"['中国', '梦想', '秀', ':', '她', '一首', '《', '领悟', '》', ',', '唱出', '了', '我', '心中', '多年', '的', '痛', ',', '落泪', '了']",20
23,中国名酒：国窖1573涨价150元 股价提升10元 目标100元,1,2,0,0,1,0,"['中国', '名酒', '：', '国窖', '1573', '涨价', '150', '元', ' ', '股价', '提升', '10', '元', ' ', '目标', '100', '元']",17
24,"中国男篮擎天柱易建联现身机场,真是太高了,希望继续加油!",1,2,0,0,3,4,"['中国男篮', '擎天柱', '易建联', '现身', '机场', ',', '真是太', '高', '了', ',', '希望', '继续', '加油', '!']",14
25,"中国男篮首战集锦,希望中国队继续加油,一往无前,永不退缩!",1,2,0,0,3,4,"['中国男篮', '首战', '集锦', ',', '希望', '中国队', '继续', '加油', ',', '一往无前', ',', '永不', '退缩', '!']",14
26,中国男篮有了新希望，17岁的他成为重点培育对象,1,2,0,0,3,4,"['中国男篮', '有', '了', '新', '希望', '，', '17', '岁', '的', '他', '成为', '重点', '培育', '对象']",14
27,中国男子边做家务边跳舞 油管网友:我希望他成为我的丈夫,1,2,0,0,2,2,"['中国', '男子', '边', '做', '家务', '边', '跳舞', ' ', '油管', '网友', ':', '我', '希望', '他', '成为', '我', '的', '丈夫']",18
28,中国—南亚经济和社会发展地方合作愿景（全文）,1,2,0,0,3,2,"['中国', '—', '南亚', '经济', '和', '社会', '发展', '地方', '合作', '愿景', '（', '全文', '）']",13
29,中国年轻人理想城市排行榜,0,2,0,0,3,4,"['中国', '年轻人', '理想城市', '排行榜']",4
30,"中国农村养牛建设牛舍以简单实用为主,节省资金多养牛才最理想",1,2,0,0,1,0,"['中国', '农村', '养牛', '建设', '牛舍', '以', '简单', '实用', '为主', ',', '节省', '资金', '多', '养牛', '才', '最', '理想']",17
31,"中国女排传奇“父女档”,2人各自迎“新身份”,唯一的目标未变",1,1,0,0,3,5,"['中国女排', '传奇', '“', '父女', '档', '”', ',', '2', '人', '各自', '迎', '“', '新', '身份', '”', ',', '唯一', '的', '目标', '未', '变']",21
32,中国小伙这菠萝头发型火到国外了，YouTube外国网友：希望附近没水果忍者！,1,2,0,0,2,1,"['中国', '小伙', '这', '菠萝', '头发', '型', '火到', '国外', '了', '，', 'YouTube', '外国', '网友', '：', '希望', '附近', '没', '水果', '忍者', '！']",20
33,"中国足球有希望了,七岁小男孩语出惊人",1,2,0,0,3,4,"['中国', '足球', '有', '希望', '了', ',', '七岁', '小男孩', '语出惊人']",9
34,重庆斯威新援马尔西尼奥已到位明日体检只待官宣,1,1,0,0,3,3,"['重庆', '斯威', '新援', '马尔', '西尼奥', '已', '到位', '明日', '体检', '只待', '官宣']",11
35,重庆斯威周日战强敌上海上港快来龙珠商城兑换球票,1,2,0,0,3,2,"['重庆', '斯威', '周日', '战强敌', '上海', '上港', '快来', '龙珠', '商城', '兑换', '球票']",11
36,筑梦新中国，筑梦70年——点亮心中梦想之线上追梦分享活动,1,2,0,0,3,5,"['筑梦新', '中国', '，', '筑梦', '70', '年', '—', '—', '点亮', '心中', '梦想', '之线', '上', '追梦', '分享', '活动']",16
37,"金毛守门员上线,网友:赶紧把轮胎送到中国足球队,国足有希望了",2,2,0,2,0,4,"['金毛', '守门员', '上线', ',', '网友', ':', '赶紧', '把', '轮胎', '送到', '中国足球队', ',', '国足', '有', '希望', '了']",16
38,欠债千亿，中国助印度拿下400亿大米订单，还希望中国伸出援手？,1,2,0,1,0,2,"['欠债', '千亿', '，', '中国', '助', '印度', '拿下', '400', '亿', '大米', '订单', '，', '还', '希望', '中国', '伸出', '援手', '？']",18
39,山东健民药业樊建设在菏泽攻克上亿资产企业：黑恶势力谁来维护？,1,2,0,1,0,5,"['山东', '健民', '药业', '樊', '建设', '在', '菏泽', '攻克', '上', '亿', '资产', '企业', '：', '黑恶势力', '谁', '来', '维护', '？']",18
40,为什么中国这么多网友都希望打仗？,0,0,0,2,0,1,"['为什么', '中国', '这么', '多', '网友', '都', '希望', '打仗', '？']",9
41,"英国的、法国的、中国的武将都有,希望加个毛子的",1,2,0,0,3,1,"['英国', '的', '、', '法国', '的', '、', '中国', '的', '武将', '都', '有', ',', '希望', '加个', '毛子', '的']",16
42,中国迫切希望与美国达成协议？外交部：完全是误导,1,2,0,1,0,2,"['中国', '迫切希望', '与', '美国', '达成协议', '？', '外交部', '：', '完全', '是', '误导']",11
43,中国专家：世界领导不是自封的 美希望继续当就应该端正态度,0,2,0,2,0,4,"['中国', '专家', '：', '世界', '领导', '不是', '自封', '的', ' ', '美', '希望', '继续', '当', '就', '应该', '端正', '态度']",17
44,终于不再忍让！安倍向中国提出无理要求，中国的反应大快人心：做梦！,1,2,0,1,1,2,"['终于', '不再', '忍让', '！', '安倍', '向', '中国', '提出', '无理要求', '，', '中国', '的', '反应', '大快人心', '：', '做梦', '！']",17
45,#国际物理奥赛中国队# 中国希望,0,2,0,0,3,4,"['#', '国际', '物理', '奥赛', '中国队', '#', ' ', '中国', '希望']",9
46,"#联想否认撤出中国# 强调“不背汉奸的锅”,希望媒体停止阴谋论",1,2,0,1,0,5,"['#', '联想', '否认', '撤出', '中国', '#', ' ', '强调', '“', '不背', '汉奸', '的', '锅', '”', ',', '希望', '媒体', '停止', '阴谋论']",19
47,#瞄准 目标，腾空而起，呼啸九天，直奔靶心！ #中国航天 #航天,1,1,0,0,1,0,"['#', '瞄准', ' ', '目标', '，', '腾空而起', '，', '呼啸', '九天', '，', '直奔', '靶心', '！', ' ', '#', '中国航天', ' ', '#', '航天']",19
48,#训练 特警力量，中国希望，特警小哥哥的日常，嘿嘿嘿,1,2,0,0,3,1,"['#', '训练', ' ', '特警', '力量', '，', '中国', '希望', '，', '特警', '小', '哥哥', '的', '日常', '，', '嘿嘿嘿']",16
49,《2019中国青年理想城报告》 100座城市,0,2,0,0,3,0,"['《', '2019', '中国', '青年', '理想', '城', '报告', '》', ' ', '100', '座', '城市']",12
50,《冯潇霆300场「中国平安」》八卦篇这场 冯队还有这场的憧憬,1,2,0,0,3,1,"['《', '冯潇霆', '300', '场', '「', '中国', '平安', '」', '》', '八卦', '篇', '这场', ' ', '冯队', '还有', '这场', '的', '憧憬']",18
51,"【TNABO】漫威首个中国超英【上气】,你希望谁来出演男主?",1,0,0,0,1,4,"['【', 'TNABO', '】', '漫威', '首个', '中国', '超英', '【', '上气', '】', ',', '你', '希望', '谁', '来', '出演', '男主', '?']",18
52,【青年眼中的中国】行动承载梦想 奉献传递希望,0,2,0,0,3,3,"['【', '青年', '眼中', '的', '中国', '】', '行动', '承载', '梦想', ' ', '奉献', '传递', '希望']",13
53,【为祖国放歌】配乐诗朗诵《梦想照亮中国》,1,2,0,0,1,3,"['【', '为', '祖国', '放歌', '】', '配乐', '诗朗诵', '《', '梦想', '照亮', '中国', '》']",12
54,【喜迎新中国成立70周年】农村公路：点亮乡村致富新希望,0,2,0,0,1,2,"['【', '喜迎', '新', '中国', '成立', '70', '周年', '】', '农村公路', '：', '点亮', '乡村', '致富', '新', '希望']",15
55,2019中国青年理想城市排行榜,0,2,0,0,3,0,"['2019', '中国', '青年', '理想城市', '排行榜']",5
56,2020考研目标苏大中国史，暑假期间想去校园参观下，请问可以进去吗？,0,2,0,0,3,3,"['2020', '考研', '目标', '苏大', '中国史', '，', '暑假', '期间', '想', '去', '校园', '参观', '下', '，', '请问', '可以', '进去', '吗', '？']",19
57,乘理想之舟 铸信念之塔| 融创中国第六季创想营DAY-4,1,2,0,0,3,4,"['乘', '理想', '之舟', ' ', '铸', '信念', '之塔', '|', ' ', '融创', '中国', '第六', '季创', '想营', 'DAY', '-', '4']",17
58,创意工坊需要中国Mod!红色计划宣传贴,0,2,0,0,3,4,"['创意', '工坊', '需要', '中国', 'Mod', '!', '红色', '计划', '宣传', '贴']",10
59,大家怎样看待堂吉诃德?我觉得中国还真需要这种坚定的理想...,1,2,0,0,3,5,"['大家', '怎样', '看待', '堂吉诃德', '?', '我', '觉得', '中国', '还', '真', '需要', '这种', '坚定', '的', '理想', '...']",16
60,大族激光中国智能制造的领导者，目标100元,0,2,0,0,3,4,"['大族', '激光', '中国', '智能', '制造', '的', '领导者', '，', '目标', '100', '元']",11
61,掉钱眼里的中国足球有希望吗?,0,2,0,2,0,5,"['掉', '钱', '眼里', '的', '中国', '足球', '有', '希望', '吗', '?']",10
62,俄滨海边疆区希望与中国进一步发展互利合作,1,2,0,0,3,3,"['俄', '滨海', '边疆区', '希望', '与', '中国', '进一步', '发展', '互利', '合作']",10
63,房企发行外债须遵守4项要求,0,2,0,0,0,0,"['房企', '发行', '外债', '须', '遵守', '4', '项', '要求']",8
64,复旦大学教授震撼讲述：希望的中国，惊艳世界(完整版),1,2,0,0,1,4,"['复旦大学', '教授', '震撼', '讲述', '：', '希望', '的', '中国', '，', '惊艳', '世界', '(', '完整版', ')']",14
65,港股异动︱中报临近市场憧憬业绩增长 融信中国(03301)大涨逾6%,1,2,0,0,1,0,"['港股', '异动', '︱', '中', '报', '临近', '市场', '憧憬', '业绩', '增长', ' ', '融信', '中国', '(', '03301', ')', '大涨', '逾', '6%']",19
66,更辽阔的梦想--横跨中国大陆,0,2,0,0,3,4,"['更', '辽阔', '的', '梦想', '--', '横跨', '中国', '大陆']",8
67,"航拍中国,贵州云雾下的苗寨,回归大自然的理想王国",1,2,0,0,3,5,"['航拍', '中国', ',', '贵州', '云雾', '下', '的', '苗寨', ',', '回归', '大自然', '的', '理想', '王国']",14
68,揭露湖北恩施焱合生物公司新零售大骗局,1,2,0,2,0,2,"['揭露', '湖北', '恩施', '焱', '合', '生物', '公司', '新', '零售', '大', '骗局']",11
69,快来围观好看的扇子舞《中国永远收获着希望》,1,2,0,0,2,5,"['快', '来', '围观', '好看', '的', '扇子舞', '《', '中国', '永远', '收获', '着', '希望', '》']",13
70,每日读报：中国希望菲律宾全面取缔网络赌博[环球时报20190823],1,2,0,1,0,2,"['每日', '读报', '：', '中国', '希望', '菲律宾', '全面', '取缔', '网络', '赌博', '[', '环球时报', '20190823', ']']",14
71,美退约目标是中国，此次比萨德事件还严重，导弹将覆盖我国领土,1,2,0,3,0,1,"['美退', '约', '目标', '是', '中国', '，', '此次', '比萨', '德', '事件', '还', '严重', '，', '导弹', '将', '覆盖', '我国', '领土']",18
72,民国建立时中国人理想疆域图,2,2,0,0,3,3,"['民国', '建立', '时', '中国', '人', '理想', '疆域', '图']",8
73,哪座中国城市让各国使者憧憬?最开放包容万国来朝的城市!,0,2,0,0,3,4,"['哪座', '中国', '城市', '让', '各国', '使者', '憧憬', '?', '最', '开放', '包容', '万国', '来朝', '的', '城市', '!']",16
74,请武磊穿上「全村D希望」代表全中国啦!有球必IN~这就是西甲!!!,0,2,0,0,3,3,"['请', '武磊', '穿', '上', '「', '全村', 'D', '希望', '」', '代表', '全', '中国', '啦', '!', '有球', '必', 'IN', '~', '这', '就是', '西甲', '!', '!', '!']",24
75,上港是中国足球唯一的希望,0,2,0,0,3,4,"['上港', '是', '中国', '足球', '唯一', '的', '希望']",7
76,时尚中国：把这些包包塞满衣柜，是每个女孩子的终极梦想,1,2,0,0,3,4,"['时尚', '中国', '：', '把', '这些', '包包', '塞满', '衣柜', '，', '是', '每个', '女孩子', '的', '终极', '梦想']",15
77,孙雯:走出舒适区迎接新挑战 早日实现女足重返世界一流目标_中国足协,0,2,0,0,3,4,"['孙雯', ':', '走出', '舒适', '区', '迎接', '新', '挑战', ' ', '早日', '实现', '女足', '重返', '世界', '一流', '目标', '_', '中国足协']",18
78,孙兴慜致谢中国：很荣幸来到这里 希望还有下一次,1,2,0,0,1,3,"['孙兴', '慜', '致谢', '中国', '：', '很', '荣幸', '来到', '这里', ' ', '希望', '还有', '下', '一次']",14
79,"他们是中国男篮的新希望!双子星闪耀,周琦也有了新想法!",0,2,0,0,3,4,"['他们', '是', '中国男篮', '的', '新', '希望', '!', '双子星', '闪耀', ',', '周琦', '也', '有', '了', '新', '想法', '!']",17
80,他是中国的希望之星，这次对手是日本悍将，他还能否点亮希望之光,1,2,0,0,3,4,"['他', '是', '中国', '的', '希望', '之星', '，', '这次', '对手', '是', '日本', '悍将', '，', '他', '还', '能否', '点亮', '希望', '之光']",19
81,外交部：特朗普所谓“中国迫切希望与美国达成经贸协议”是误导,0,2,0,2,0,2,"['外交部', '：', '特朗普', '所谓', '“', '中国', '迫切希望', '与', '美国', '达成', '经贸', '协议', '”', '是', '误导']",15
82,王简嘉禾世锦赛将正面硬刚莱德基 成中国队希望,1,2,0,0,3,4,"['王简', '嘉禾', '世锦赛', '将', '正面', '硬刚', '莱德', '基', ' ', '成', '中国队', '希望']",12
83,王霜为中国男足打CALL:让我们为同一梦想而战 加油,1,2,0,0,3,4,"['王霜为', '中国男足', '打', 'CALL', ':', '让', '我们', '为', '同一', '梦想', '而战', ' ', '加油']",13
84,为什么在中国但凡默默努力希望做出一些突破的人或者企业，总会被中国人各种质疑，各种喷？,1,2,0,2,0,5,"['为什么', '在', '中国', '但凡', '默默', '努力', '希望', '做出', '一些', '突破', '的', '人', '或者', '企业', '，', '总会', '被', '中国', '人', '各种', '质疑', '，', '各种', '喷', '？']",25
85,文莱希望借中国技术提升粮食自给率,0,2,0,0,3,1,"['文莱', '希望', '借', '中国', '技术', '提升', '粮食', '自给率']",8
86,"我不喜欢黑人,以后黑人别来我的店里,希望黑人别在中国的饭店吃",2,2,0,2,0,5,"['我', '不', '喜欢', '黑人', ',', '以后', '黑人', '别来', '我', '的', '店里', ',', '希望', '黑人', '别', '在', '中国', '的', '饭店', '吃']",20
87,我们客服小姐姐劝人有妙招#山东联通 #爱ping才会赢 @中国联通客服,1,2,0,0,3,2,"['我们', '客服', '小姐姐', '劝人', '有', '妙', '招', '#', '山东', '联通', ' ', '#', '爱', 'ping', '才会赢', ' ', '@', '中国联通', '客服']",19
88,希望今年中国200米二哥梁劲生也有突破,0,2,0,0,3,4,"['希望', '今年', '中国', '200', '米', '二哥', '梁劲生', '也', '有', '突破']",10
89,希望中国法律能和美国一样,2,2,0,0,3,2,"['希望', '中国', '法律', '能', '和', '美国', '一样']",7
90,"小伙子天真的梦想,想成为中国的首富,不料房租都交不起了",1,2,0,2,0,4,"['小伙子', '天', '真的', '梦想', ',', '想', '成为', '中国', '的', '首富', ',', '不料', '房租', '都', '交不起', '了']",16
91,新班底释放新信号 足协制定未来四年五大发展目标_中国足协,1,2,0,0,3,3,"['新', '班底', '释放', '新', '信号', ' ', '足协', '制定', '未来', '四年', '五大', '发展', '目标', '_', '中国足协']",15
92,徐莉：中国男子重剑队进军奥运希望很大（世界）,0,2,0,0,1,4,"['徐莉', '：', '中国', '男子', '重剑', '队', '进军', '奥运', '希望', '很大', '（', '世界', '）']",13
93,"抑扬顿挫,朗诵《励志中国梦》表达建设未来社会的美好愿景",1,2,0,0,3,5,"['抑扬顿挫', ',', '朗诵', '《', '励志', '中国', '梦', '》', '表达', '建设', '未来', '社会', '的', '美好', '愿景']",15
94,"赢得一切!艾格努明确下赛季目标,加盟中国联赛有标准",0,2,0,0,1,4,"['赢得', '一切', '!', '艾格', '努', '明确', '下', '赛季', '目标', ',', '加盟', '中国', '联赛', '有', '标准']",15
95,于泽：中国经济有韧性，实现6%-6.5%目标没有问题,0,2,0,0,1,4,"['于泽', '：', '中国', '经济', '有', '韧性', '，', '实现', '6%', '-', '6.5%', '目标', '没有', '问题']",14
96,张玉宁谈对世界杯的期待「中国平安」：希望穿上国家队战袍(¨世界杯),0,2,0,0,3,3,"['张玉宁', '谈对', '世界杯', '的', '期待', '「', '中国', '平安', '」', '：', '希望', '穿', '上', '国家队', '战袍', '(', '¨', '世界杯', ')']",19
97,"长大后,我要去中国。,是很多非洲孩子的梦想。",0,2,0,0,3,4,"['长大', '后', ',', '我要', '去', '中国', '。', ',', '是', '很多', '非洲', '孩子', '的', '梦想', '。']",15
98,"赵雷为什么是中国民谣的顶梁柱,听完这首《理想》你就懂!",1,2,0,0,3,4,"['赵雷', '为什么', '是', '中国', '民谣', '的', '顶梁柱', ',', '听', '完', '这首', '《', '理想', '》', '你', '就', '懂', '!']",18
99,"这是未来中国足球的希望,一定要好好的培养!",0,2,0,0,3,4,"['这是', '未来', '中国', '足球', '的', '希望', ',', '一定', '要', '好好', '的', '培养', '!']",13
100,中国奥运代表团总体目标 取得运动成绩和精神文明双丰收,0,2,0,0,1,3,"['中国', '奥运', '代表团', '总体目标', ' ', '取得', '运动', '成绩', '和', '精神文明', '双丰收']",11
101,中国各地区的理想人口密度,2,2,0,0,3,2,"['中国', '各', '地区', '的', '理想', '人口密度']",6
102,"中国好人:沈阳小学的梦想课堂上,孩子们踊跃发言,气氛十分活跃",1,2,0,0,1,1,"['中国', '好人', ':', '沈阳', '小学', '的', '梦想', '课堂', '上', ',', '孩子', '们', '踊跃发言', ',', '气氛', '十分', '活跃']",17
103,中国好声音2020年您最希望看到的导师阵容,1,2,0,0,3,4,"['中国', '好', '声音', '2020', '年', '您', '最', '希望', '看到', '的', '导师', '阵容']",12
104,中国恒大维持买入评级，目标价29.2港元,0,2,0,0,3,0,"['中国', '恒大', '维持', '买入', '评级', '，', '目标价', '29.2', '港元']",9
105,中国歼16载弹量达12吨，可同时打击多个目标，超过轰炸机轰-6k,1,1,0,0,3,1,"['中国', '歼', '16', '载弹量', '达', '12', '吨', '，', '可', '同时', '打击', '多个', '目标', '，', '超过', '轰炸机', '轰', '-', '6k']",19
106,中国孔子研究院院长杨朝明：希望为中国赢得更多儒学话语权｜70年70人·人文⑨,0,2,0,0,1,4,"['中国', '孔子', '研究院', '院长', '杨朝明', '：', '希望', '为', '中国', '赢得', '更', '多', '儒学', '话语权', '｜', '70', '年', '70', '人', '·', '人文', '⑨']",22
107,中国控烟协会：反对国家烟草专卖局4750万箱售烟目标,1,2,0,1,0,1,"['中国', '控烟', '协会', '：', '反对', '国家烟草专卖局', '4750', '万箱', '售烟', '目标']",10
108,中国梦想秀：“梦想大使”萌翻全场，太可爱了，周立波：世外高人,0,2,0,0,2,4,"['中国', '梦想', '秀', '：', '“', '梦想', '大使', '”', '萌翻', '全场', '，', '太', '可爱', '了', '，', '周立波', '：', '世外', '高人']",19
109,中国梦想秀：“四大萌娃”现身舞台，刚一开口，观众被萌翻了！,1,2,0,0,2,5,"['中国', '梦想', '秀', '：', '“', '四大', '萌娃', '”', '现身', '舞台', '，', '刚一', '开口', '，', '观众', '被', '萌翻', '了', '！']",19
110,"中国梦想秀:35岁大妈登台演唱,一首《江山无限》,开口震撼全场",1,2,0,0,2,4,"['中国', '梦想', '秀', ':', '35', '岁', '大妈', '登台演唱', ',', '一首', '《', '江山', '无限', '》', ',', '开口', '震撼', '全场']",18
111,"中国梦想秀:60岁老大爷上演倒挂金钩,沈涛都惊呆了,全场沸腾",1,2,0,0,2,4,"['中国', '梦想', '秀', ':', '60', '岁', '老大爷', '上演', '倒挂金钩', ',', '沈涛', '都', '惊呆', '了', ',', '全场', '沸腾']",17
112,"中国梦想秀:Miss A舞台上演唱经典歌曲,舞姿优美,声音动听",1,2,0,0,3,4,"['中国', '梦想', '秀', ':', 'Miss', ' ', 'A', '舞台', '上', '演唱', '经典歌曲', ',', '舞姿', '优美', ',', '声音', '动听']",17
113,中国梦想秀：大爷自制迷你小火车，还坦言能坐10个韩红，秀呀,1,2,0,0,2,4,"['中国', '梦想', '秀', '：', '大爷', '自制', '迷你', '小', '火车', '，', '还', '坦言', '能', '坐', '10', '个', '韩红', '，', '秀', '呀']",20
114,"中国梦想秀:好声音学员强势踢馆,一首歌震撼全场,实在太好听了",1,2,0,0,2,4,"['中国', '梦想', '秀', ':', '好', '声音', '学员', '强势', '踢馆', ',', '一首歌', '震撼', '全场', ',', '实在', '太', '好听', '了']",18
115,"中国梦想秀:毛世林梦想舞台上,演唱一个人唱情歌,太动听了",1,2,0,0,3,1,"['中国', '梦想', '秀', ':', '毛世林', '梦想', '舞台', '上', ',', '演唱', '一个', '人唱', '情歌', ',', '太', '动听', '了']",17
116,中国梦想秀：梦想舞台上演，舞技大比拼，太精彩了,1,2,0,0,2,2,"['中国', '梦想', '秀', '：', '梦想', '舞台', '上演', '，', '舞技', '大比拼', '，', '太精彩', '了']",13
117,中国梦想秀：提到吃杨梅，沈涛立马不淡定了，台下观众笑惨了！,1,1,0,0,2,4,"['中国', '梦想', '秀', '：', '提到', '吃', '杨梅', '，', '沈涛', '立马', '不淡定', '了', '，', '台下', '观众', '笑', '惨', '了', '！']",19
118,"中国梦想秀:佟大为和小明,合唱《光阴的故事》,台下掌声不断",1,1,0,0,2,4,"['中国', '梦想', '秀', ':', '佟', '大为', '和', '小明', ',', '合唱', '《', '光阴', '的', '故事', '》', ',', '台下', '掌声', '不断']",19
119,"中国梦想秀:王威演唱《阳光总在风雨后》,太动听,台下掌声不断",1,2,0,0,3,1,"['中国', '梦想', '秀', ':', '王威', '演唱', '《', '阳光', '总在', '风雨', '后', '》', ',', '太', '动听', ',', '台下', '掌声', '不断']",19
120,中国梦想秀：现场真情告白，男友自制视频，记录生活点滴,1,1,0,0,2,1,"['中国', '梦想', '秀', '：', '现场', '真情', '告白', '，', '男友', '自制', '视频', '，', '记录', '生活', '点滴']",15
121,"中国梦想秀:小伙改编歌曲《橄榄树》,简直是天籁之音,嗨翻了",1,2,0,0,2,5,"['中国', '梦想', '秀', ':', '小伙', '改编', '歌曲', '《', '橄榄树', '》', ',', '简直', '是', '天籁', '之音', ',', '嗨', '翻', '了']",19
122,"中国梦想秀:杨坤成公益大使,和选手现场合唱《那一天》,超好听",1,2,0,0,2,1,"['中国', '梦想', '秀', ':', '杨坤', '成', '公益', '大使', ',', '和', '选手', '现场', '合唱', '《', '那', '一天', '》', ',', '超', '好听']",20
123,"中国梦想秀:一段杂技《黑白协奏曲》,观众直呼过瘾,很高难度",1,2,0,0,2,4,"['中国', '梦想', '秀', ':', '一段', '杂技', '《', '黑白', '协奏曲', '》', ',', '观众', '直呼', '过瘾', ',', '很', '高难度']",17
124,"中国梦想秀:一首《像孩子一样》,观众激动不已,好听极了",1,2,0,0,2,5,"['中国', '梦想', '秀', ':', '一首', '《', '像', '孩子', '一样', '》', ',', '观众', '激动不已', ',', '好听', '极了']",16
125,"中国男篮国家队新人~张镇麟集训,感觉辽宁队小前锋位置有希望了",1,2,0,0,3,4,"['中国男篮', '国家队', '新人', '~', '张镇麟', '集训', ',', '感觉', '辽宁队', '小', '前锋', '位置', '有', '希望', '了']",15
126,"中国男足有希望了!足协终于懂了,范志毅或将担任国足重要职务",0,2,0,0,3,4,"['中国男足', '有', '希望', '了', '!', '足协', '终于', '懂', '了', ',', '范志毅', '或', '将', '担任', '国', '足', '重要', '职务']",18
